﻿Wskaźnik;;Jednostka;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
"Rachunek bieżący bilansu płatniczego";;mln EUR;.;.;.;.;-12345;-8195;-12745;-20884;-24641;-12278;-18591;-19295;-15914;-7791;-11861;-5695;-4517;-5497;-9920;-1424;12612;-7781;-14872;13485
"saldo obrotów towarowych";;mln EUR;.;.;.;.;-7709;-5680;-9163;-18060;-25177;-8677;-12674;-14283;-9453;-3749;-7904;-2121;-1337;-4817;-11251;-4356;6975;-7682;-22019;4738
"saldo usług";;mln EUR;.;.;.;.;1849;2573;2596;6066;5894;5586;3855;5648;6432;8106;9570;11047;13935;18040;21446;23983;22772;26422;35990;39439
"saldo dochodów pierwotnych";;mln EUR;.;.;.;.;-6477;-4863;-7107;-10762;-7689;-9866;-11969;-13542;-14743;-14229;-15680;-16323;-16725;-19985;-21303;-22217;-19680;-25623;-26036;-28645
"saldo dochodów wtórnych";;mln EUR;.;.;.;.;-8;-225;929;1872;2331;679;2197;2882;1850;2081;2153;1702;-390;1265;1188;1166;2545;-898;-2807;-2047
"Rachunek kapitałowy";;mln EUR;.;.;.;.;1484;1841;2579;3408;3304;4210;6064;6629;9628;6827;7467;11170;4094;5254;7978;8885;9296;4545;1224;1161
"Rachunek finansowy";;mln EUR;.;.;.;.;-5921;-5698;-8488;-18237;-28403;-14113;-22275;-19716;-7827;-5122;-6829;1837;2810;-2821;-1026;4072;17109;-3775;-15249;10402
"inwestycje bezpośrednie:";;;;;;;;;;;;;;;;;;;;;;;;;;;
"aktywa";;mln EUR;.;.;.;.;1711;3394;8444;5411;2958;4369;7140;3388;1278;-2299;5068;4522;12882;3441;2036;4805;4190;8626;12010;13664
"pasywa";;mln EUR;.;.;.;.;11169;8929;17021;18252;9720;10110;13890;13541;5969;1069;15662;14212;16406;10894;16747;16909;17476;31695;39251;31723
"inwestycje portfelowe:";;;;;;;;;;;;;;;;;;;;;;;;;;;
"aktywa";;mln EUR;.;.;.;.;1053;2006;3682;4604;-1700;1008;23;-502;351;1798;4288;12062;-5341;1442;488;-273;-3447;4214;3139;13372
"pasywa";;mln EUR;.;.;.;.;8489;11797;1483;-24;-3656;11302;21573;11669;15728;1858;2737;8044;-2101;5477;-3252;-11084;-10009;-5727;5555;9134
"pozostałe inwestycje:";;;;;;;;;;;;;;;;;;;;;;;;;;;
"aktywa";;mln EUR;.;.;.;.;9628;2178;3202;1324;-4083;-3857;3895;2816;2860;729;2070;5463;4282;5974;5099;1293;12936;10799;19032;14696
"pasywa";;mln EUR;.;.;.;.;-813;-1131;7890;22183;17832;5935;9815;5024;-2782;2644;297;-1985;15314;-10840;278;3890;4094;14364;16990;12319
"pochodne instrumenty finansowe";;mln EUR;.;.;.;.;-154;-138;548;1457;745;1301;449;121;-2134;-533;-15;-880;176;-1004;-1104;-1248;-924;-2989;-527;2632
"oficjalne aktywa rezerwowe";;mln EUR;.;.;.;.;686;6457;2030;9378;-2427;10413;11496;4695;8733;754;456;941;20430;-7143;6228;9210;15915;15907;12893;19214
"Saldo błędów i opuszczeń";;mln EUR;.;.;.;.;4940;656;1678;-761;-7066;-6045;-9748;-7050;-1541;-4158;-2435;-3638;3233;-2578;916;-3389;-4799;-539;-1601;-4244
"Relacja rachunku bieżącego bilansu płatniczego do produktu krajowego brutto";;%;.;.;.;.;-6,0;-3,3;-4,6;-6,6;-6,7;-3,8;-5,1;-5,1;-4,1;-2,0;-2,9;-1,3;-1,0;-1,2;-2,0;-0,3;2,4;-1,3;-2,2;1,8
"w tym";"relacja salda płatności towarowych do produktu krajowego brutto";%;.;.;.;.;-3,7;-2,3;-3,3;-5,7;-6,9;-2,7;-3,5;-3,8;-2,4;-1,0;-1,9;-0,5;-0,3;-1,0;-2,2;-0,8;1,3;-1,3;-3,3;0,6
